Ticker,ShortName,Sector,Industry,Price
PCG,Pacific Gas & Electric Co.,Utilities,Utilities - Regulated Electric,16.965
PM,Philip Morris International Inc,Consumer Defensive,Tobacco,170.48
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,105.32
PNW,Pinnacle West Capital Corporati,Utilities,Utilities - Regulated Electric,94.32
PNC,"PNC Financial Services Group, I",Financial Services,Banks - Regional,164.96
POOL,Pool Corporation,Industrials,Industrial Distribution,301.97
PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,110.545
PPL,PPL Corporation,Utilities,Utilities - Regulated Electric,36.03
PFG,Principal Financial Group Inc,Financial Services,Asset Management,75.79
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,160.34
PGR,Progressive Corporation (The),Financial Services,Insurance - Property & Casualty,281.105
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,104.965
PRU,"Prudential Financial, Inc.",Financial Services,Insurance - Life,103.5
PEG,Public Service Enterprise Group,Utilities,Utilities - Regulated Electric,79.51
PTC,PTC Inc.,Technology,Software - Application,159.545
PSA,Public Storage,Real Estate,REIT - Industrial,300.05
PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,104.13
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,323.0
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,139.915
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,177.095
